Product_ID,Product_Name,Price,Price_comparrison,Category,Benefits
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),99350,Giá từ 80.750 ₫,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
59478514,Combo 2 Cuốn: Osho Đàn Ông + Osho Phụ Nữ,181000,Giá từ 181.000 ₫,Sách giáo dục,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
3608625,Payback Time - Ngày Đòi Nợ,299000,None,Sách tiếng Việt,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
275025208,Sách Combo 2 Cuốn : Tư Duy Ngược + Tư Duy Mở (Nguyễn Anh Dũng) - SBOOKS,138000,None,Sách tư duy - Kỹ năng sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
275599939,Sưởi Ấm Mặt Trời: Tập 2 Của Cây Cam Ngọt,124000,Giá từ 136.000 ₫,Truyện dài,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
190843478,COMBO 4 - (TRÍ TUỆ CỦA NGƯỜI XƯA - ĐẠO LÝ NGƯỜI XƯA - HIỂU NGƯỜI để DÙNG NGƯỜI - CỔ HỌC TINH HOA) - MINH TRIẾT PHƯƠNG ĐÔNG,324000,Giá từ 582.000 ₫,Triết Học phương Đông,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
262590428,Búp Sen Xanh,54100,None,Root,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
270546273,Combo Tư Duy Ngược + Tư Duy Mở (Nguyễn Anh Dũng) SBOOKS ,135000,Giá từ 138.000 ₫,Nhà Sách Tiki,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
13419678,Sách Đi Tìm Lẽ Sống (Tái Bản ),61700,Giá từ 70.400 ₫,Sách tiếng Việt,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
68350213,Chinh Phục Luyện Thi Vào 10 Môn Toán Theo Chủ Đề,159000,Giá từ 119.250 ₫,Sách tham khảo cấp II,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
271379451,Lý Thuyết Trò Chơi,126000,Giá từ 144.000 ₫,Sách tư duy - Kỹ năng sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
262977989,Kế Toán Vỉa Hè - Thực Hành Báo Cáo Tài Chính Căn Bản Từ Quầy Bán Nước Chanh,169000,Giá từ 189.050 ₫,Kế toán,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
275264393,Chia sẻ từ trái tim,121000,Giá từ 142.000 ₫,Nghệ thuật sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
170708233,Thay Đổi Tí Hon - Hiệu Quả Bất Ngờ Atomic Habits (Tái Bản Lần 4),146000,Giá từ 162.000 ₫,Sách tư duy - Kỹ năng sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
251772561,Thả trôi phiền muộn (TB) - Tác giả Suối Thông,84700,Giá từ 71.500 ₫,Phương pháp giáo dục Montessori,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
694094,Sách Lựa Chọn Nhiệm Màu - The Choice,73000,Giá từ 52.800 ₫,Sách tư duy - Kỹ năng sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
271061349,Cách đưa bạn trở thành siêu sao nơi công sở - How to Be the Employee Your Company Can't Live Without,249000,None,Sách tiếng Việt,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
210145963,Hạt Giống Tâm Hồn 7 - Những câu chuyện cuộc sống,53300,Giá từ 60.800 ₫,Sách tư duy - Kỹ năng sống,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
3304875,Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),99350,Giá từ 80.750 ₫,Truyện ngắn - Tản văn - Tạp Văn Nước Ngoài,"['Được đồng kiểm khi nhận hàng', '<b>Được hoàn tiền 200%</b> nếu là hàng giả.', 'Đổi trả miễn phí trong 30 ngày. Được đổi ý.']"
